start	end	text
0	3000	The birch canoes slid on the smooth planks.
4000	6000	Glue the sheet to the dark blue background.
7000	10000	It is easy to tell the depth of a well.
11000	13000	These days a chicken leg is a rare dish.
14000	16000	Rice is often served in round bowls.
17000	19000	The juice of lemons makes fine punch.
20000	22000	The box was thrown beside the park truck.
23000	26000	The hogs were fed chopped corn and garbage.
27000	29000	Four hours of steady work faced us.
30000	32000	A large size of stockings is hard to sell.
